"","Date","AAPL"
"1","2019-03-01",174.298782
"2","2019-03-04",175.175415
"3","2019-03-05",174.856628
"4","2019-03-06",173.85051
"5","2019-03-07",171.838257
"6","2019-03-08",172.246689
"7","2019-03-11",178.213699
"8","2019-03-12",180.215988
"9","2019-03-13",181.012924
"10","2019-03-14",183.025162
"11","2019-03-15",185.406006
"12","2019-03-18",187.298721
"13","2019-03-19",185.814423
"14","2019-03-20",187.438187
"15","2019-03-21",194.341583
"16","2019-03-22",190.317093
"17","2019-03-25",188.015961
"18","2019-03-26",186.073425
"19","2019-03-27",187.746994
"20","2019-03-28",187.996033
"21","2019-03-29",189.221313
