"","Date","^GSPC","AAPL","AMZN","GOOG","MSFT","IBM"
"1","2010-01-01",1073.869995,18.224987,125.410004,263.257751,22.330048,91.757233
"2","2010-02-01",1104.48999,19.41683,118.400002,261.697906,22.718327,95.333382
"3","2010-03-01",1169.430054,22.29965,135.770004,281.727631,23.318153,96.580605
"4","2010-04-01",1186.689941,24.775391,137.100006,261.151459,24.313295,97.145401
"5","2010-05-01",1089.410034,24.375896,125.459999,241.245926,20.539722,94.328957
"6","2010-06-01",1030.709961,23.868223,109.260002,221.037369,18.40122,93.465118
"7","2010-07-01",1101.599976,24.411009,117.889999,240.858444,20.640396,97.189171
"8","2010-08-01",1049.329956,23.068285,124.830002,223.555984,18.769091,93.20018
"9","2010-09-01",1141.199951,26.925646,157.059998,261.196167,19.689262,102.03701
"10","2010-10-01",1183.26001,28.560642,165.229996,304.867126,21.441914,109.233032
"11","2010-11-01",1180.550049,29.52569,175.399994,276.059509,20.308319,107.605225
"12","2010-12-01",1257.640015,30.608423,180,295.065887,22.576715,112.132858
"13","2011-01-01",1286.119995,32.198803,169.639999,298.240234,22.43111,123.777077
"14","2011-02-01",1327.219971,33.516846,173.289993,304.718109,21.500864,123.685432
"15","2011-03-01",1325.829956,33.070869,180.130005,291.484161,20.659649,125.087929
"16","2011-04-01",1363.609985,33.22459,195.809998,270.292023,21.090908,130.848709
"17","2011-05-01",1345.199951,33.006325,196.690002,262.80072,20.350445,129.583008
"18","2011-06-01",1320.640015,31.852455,204.490005,251.553879,21.294674,132.181259
"19","2011-07-01",1292.280029,37.053482,222.520004,299.89447,22.441309,140.117523
"20","2011-08-01",1218.890015,36.517345,215.229996,268.732147,21.786091,132.458633
"21","2011-09-01",1131.420044,36.184277,216.229996,255.855911,20.514225,135.326111
"22","2011-10-01",1253.300049,38.41045,213.509995,294.405182,21.948322,142.878998
"23","2011-11-01",1246.959961,36.267776,192.289993,297.758362,21.082911,145.486969
"24","2011-12-01",1257.599976,38.431324,173.100006,320.863098,21.557222,142.870728
"25","2012-01-01",1312.410034,43.316364,194.440002,288.180664,24.521755,149.64592
"26","2012-02-01",1365.680054,51.473301,179.690002,307.127441,26.356951,152.854782
"27","2012-03-01",1408.469971,56.89259,202.509995,318.548157,26.965113,162.747696
"28","2012-04-01",1397.910034,55.415123,231.899994,300.470734,26.764505,161.523102
"29","2012-05-01",1310.329956,54.822044,212.910004,288.553253,24.399,150.462646
"30","2012-06-01",1362.160034,55.417011,228.350006,288.160797,25.736992,153.192154
"31","2012-07-01",1379.319946,57.956322,233.300003,314.43988,24.794672,153.505463
"32","2012-08-01",1406.579956,63.126057,248.270004,340.331482,25.930504,152.620331
"33","2012-09-01",1440.670044,65.255394,254.320007,374.812195,25.204538,163.183334
"34","2012-10-01",1412.160034,58.23391,232.889999,337.951935,24.171288,153.020264
"35","2012-11-01",1416.180054,57.251804,252.050003,346.928558,22.545197,149.511978
"36","2012-12-01",1426.189941,53.767834,250.869995,351.404449,22.807299,151.335571
"37","2013-01-01",1498.109985,46.020473,265.5,375.403351,23.439175,160.437073
"38","2013-02-01",1514.680054,44.596889,264.269989,398.011322,23.738035,158.667282
"39","2013-03-01",1569.189941,46.614876,266.48999,394.528961,24.631943,169.228638
"40","2013-04-01",1597.569946,46.627518,253.809998,409.620819,28.497641,160.691879
"41","2013-05-01",1630.73999,47.359402,269.200012,432.795074,30.047356,165.039581
"42","2013-06-01",1606.280029,43.771873,277.690002,437.340515,29.945938,152.334167
"43","2013-07-01",1685.72998,49.953552,301.220001,441.006683,27.605057,155.466766
"44","2013-08-01",1632.969971,53.782887,280.980011,420.713654,28.957563,145.28775
"45","2013-09-01",1681.550049,55.159863,312.640015,435.124939,29.056845,148.345215
"46","2013-10-01",1756.540039,60.476246,364.029999,511.960205,30.916555,143.562729
"47","2013-11-01",1805.810059,64.337143,393.619995,526.37146,33.291393,143.93924
"48","2013-12-01",1848.359985,67.658981,398.790009,556.734009,32.910477,151.066772
"49","2014-01-01",1782.589966,60.372318,358.690002,586.669312,33.288746,142.296097
"50","2014-02-01",1859.449951,63.464516,362.100006,603.897217,33.702232,149.13385
"51","2014-03-01",1872.339966,67.544098,336.369995,555.445007,36.330292,155.879242
"52","2014-04-01",1883.949951,74.257759,304.130005,523.779968,35.807358,159.102203
"53","2014-05-01",1923.569946,79.657608,312.549988,556.828247,36.285973,149.295456
"54","2014-06-01",1960.22998,85.17263,324.779999,572.134094,37.220306,147.647858
"55","2014-07-01",1930.670044,87.619743,312.98999,568.474243,38.523479,156.118835
"56","2014-08-01",2003.369995,93.943756,339.040009,568.474243,40.549606,156.631973
"57","2014-09-01",1972.290039,92.799133,322.440002,574.202698,41.638149,155.534546
"58","2014-10-01",2018.050049,99.476997,305.459991,556.022705,42.168056,134.698853
"59","2014-11-01",2067.560059,109.544456,338.640015,538.867004,42.940472,132.871735
"60","2014-12-01",2058.899902,102.110046,310.350006,523.521423,41.982117,132.353958
